,year,rating,vote,runtime,kind_N,genre_N,country_N,language_N,director_N
557,2000.0,5.5,Many,85.0,7,5,8,1,9
558,1972.0,7.7,Several,30.0,4,2,8,1,10
559,1972.0,7.3,Many,169.0,1,0,3,7,9
561,1989.0,6.3,Few,90.0,1,10,9,8,9
563,1994.0,9.3,Many,77.0,1,7,8,1,9
565,2002.0,7.2,Many,89.0,1,2,6,6,9
566,2004.0,7.3,Few,118.0,4,2,6,6,10
568,1994.0,8.5,Many,180.0,1,0,2,1,9
569,2000.0,6.9,Few,92.0,1,4,9,8,9
570,2000.0,7.2,Few,78.0,7,10,8,1,9
571,2002.0,6.6,None,151.0,7,2,8,1,9
573,1999.0,5.5,Several,25.0,1,4,8,1,9
574,2002.0,7.9,Few,23.0,1,6,7,1,9
